Speaker,Dialogue
SPOCK,Check the circuit.
TYLER,"All operating, sir."
SPOCK,"It can't be the screen then. Definitely something out there,"
TYLER,It could be these meteorites.
ONE,"No, it's something else. There's still something out there."
TYLER,"It's coming at the speed of light, collision course. The"
ONE,"Evasive manoeuvres, sir?"
PIKE,Steady as we go.
GARISON,"It's a radio wave, sir. We're passing through an old-style"
PIKE,They were keyed to cause interference and attract attention this
GARISON,"A ship in trouble making a forced landing, sir. That's it. No"
TYLER,I have a fix. It comes from the Talos star group.
ONE,We've no ships or Earth colonies that far out.
SPOCK,Their call letters check with a survey expedition. SS Columbia.
TYLER,It would take that long for a radio beam to travel from there to
SPOCK,Records show the Talos group has never been explored. Solar
ONE,"Then they could still be alive, even after eighteen years."
PIKE,If they survived the crash.
SPOCK,"We aren't going to go, to be certain?"
PIKE,"Not without any indication of survivors, no. Continue to the Vega"
ONE,"Yes, sir."
PIKE,"Drop by my cabin, Doctor.  What's that? I"
BOYCE,I understand we picked up a distress signal.
PIKE,"That's right. Unless we get anything more positive on it, it"
BOYCE,"Oh, I concur with yours, definitely."
PIKE,"Good. I'm glad you do, because we're going to stop first at the"
BOYCE,Who wants a warm martini?
PIKE,What makes you think I need one?
BOYCE,Sometimes a man'll tell his bartender things he'll never tell
PIKE,"Shouldn't it be? My only yeoman and two others dead, seven"
BOYCE,Was there anything you personally could have done to prevent it?
PIKE,"Oh, I should have smelled trouble when I saw the swords and the"
BOYCE,"Chris, you set standards for yourself no one could meet. You"
re tired and youPIKE,You bet I'm tired. You bet. I'm tired of being responsible for
BOYCE,"To the point of finally taking my advice, a rest leave?"
PIKE,To the point of considering resigning.
BOYCE,And do what?
PIKE,"Well, for one thing, go home. Nice little town with fifty miles"
BOYCE,"Ah, that sounds exciting. Ride out with a picnic lunch every day."
PIKE,I said that's one place I might go. I might go into business on
BOYCE,"You, an Orion trader, dealing in green animal women, slaves?"
PIKE,The point is this isn't the only life available. There's a whole
BOYCE,"Not for you. A man either lives life as it happens to him, meets"
PIKE,"Now you're beginning to talk like a doctor, bartender."
BOYCE,Take your choice. We both get the same two kinds of customers.
GARISON, Eleven survivors from crash.
PIKE,Address intercraft.
TYLER,System open.
PIKE,This is the captain. Our destination is the Talos star group. Our
TYLER,Course computed and on the screen.
ONE,"All decks have acknowledged, sir."
PIKE,Engage.
TYLER,"On course, sir."
PIKE,Yeoman.
COLT,"Yes, sir."
PIKE,I thought I told you that when I'm on the bridge
COLT,But you wanted the reports by oh five hundred. It's oh five
PIKE,"Oh, I see. Thank you."
ONE,"She's replacing your former yeoman, sir."
PIKE,"She does a good job, all right. It's just that I can't get used"
TYLER,"We've settled into orbit, sir."
GEOLOGIST,"Geological lab report complete, Captain."
SPOCK,"Preliminary lab survey ready, sir."
PIKE,Spectography?
GEOLOGIST,"Our reading shows an oxygen nitrogen atmosphere, sir, heavy"
PIKE,Gravity?
