,Character,Message
0,TYLER,"All operating, sir."
1,SPOCK,"It can't be the screen then. Definitely something out there, Captain, headed this way."
2,TYLER,It could be these meteorites.
3,ONE,"No, it's something else. There's still something out there."
4,TYLER,"It's coming at the speed of light, collision course. The meteorite beam has not deflected it, Captain."
5,ONE,"Evasive manoeuvres, sir?"
6,PIKE,Steady as we go.
7,GARISON,"It's a radio wave, sir. We're passing through an old-style distress signal."
8,PIKE,They were keyed to cause interference and attract attention this way.
9,GARISON,"A ship in trouble making a forced landing, sir. That's it. No other message."
10,TYLER,I have a fix. It comes from the Talos star group.
11,ONE,We've no ships or Earth colonies that far out.
12,SPOCK,Their call letters check with a survey expedition. SS Columbia. It disappeared in that region approximately eighteen years ago.
13,TYLER,It would take that long for a radio beam to travel from there to here.
14,SPOCK,"Records show the Talos group has never been explored. Solar system similar to Earth, eleven planets. Number four seems to be Class M, oxygen atmosphere."
15,ONE,"Then they could still be alive, even after eighteen years."
16,PIKE,If they survived the crash.
17,SPOCK,"We aren't going to go, to be certain?"
18,PIKE,"Not without any indication of survivors, no. Continue to the Vega Colony and take care of our own sick and injured first. You have the helm. Maintain present course."
19,ONE,"Yes, sir."
20,PIKE,"Drop by my cabin, Doctor.  What's that? I didn't say there's anything wrong with me."
21,BOYCE,I understand we picked up a distress signal.
22,PIKE,"That's right. Unless we get anything more positive on it, it seems to me the condition of our own crew takes precedent. I'd like to log the ship's doctor's opinion, too."
23,BOYCE,"Oh, I concur with yours, definitely."
24,PIKE,"Good. I'm glad you do, because we're going to stop first at the Vega Colony and replace anybody who needs hospitalisation and also. What the devil are you putting in there, ice?"
25,BOYCE,Who wants a warm martini?
26,PIKE,What makes you think I need one?
27,BOYCE,"Sometimes a man'll tell his bartender things he'll never tell his doctor. What's been on your mind, Chris, the fight on Rigel Seven?"
28,PIKE,"Shouldn't it be? My own yeoman and two others dead, seven injured."
29,BOYCE,Was there anything you personally could have done to prevent it?
30,PIKE,"Oh, I should have smelled trouble when I saw the swords and the armour. Instead of that, I let myself get trapped in that deserted fortress and attacked by one of their warriors."
31,BOYCE,"Chris, you set standards for yourself no one could meet. You treat everyone on board like a human being except yourself, and now you're tired and you"
32,PIKE,"You bet I'm tired. You bet. I'm tired of being responsible for two hundred and three lives. I'm tired of deciding which mission is too risky and which isn't, and who's going on the landing party and who doesn't, and who lives and who dies. Boy, I've had it, Phil."
33,BOYCE,"To the point of finally taking my advice, a rest leave?"
34,PIKE,To the point of considering resigning.
35,BOYCE,And do what?
36,PIKE,"Well, for one thing, go home. Nice little town with fifty miles of parkland around it. Remember I told you I had two horses, and we used to take some food and ride out all day."
37,BOYCE,"Ah, that sounds exciting. Ride out with a picnic lunch every day."
38,PIKE,I said that's one place I might go. I might go into business on Regulus or on the Orion colony.
39,BOYCE,"You, an Orion trader, dealing in green animal women, slaves?"
40,PIKE,The point is this isn't the only life available. There's a whole galaxy of things to choose from.
41,BOYCE,"Not for you. A man either lives life as it happens to him, meets it head-on, and licks it, or he turns his back on it and starts to wither away."
42,PIKE,"Now you're beginning to talk like a doctor, bartender."
43,BOYCE,Take your choice. We both get the same two kinds of customers. The living and the dying.
44,SPOCK,"Mister Spock here. We're intercepting a follow-up message, sir. There are crash survivors on Talos."
45,PIKE,Address intercraft.
46,TYLER,System open.
47,PIKE,"This is the captain. Our destination is the Talos star group. Our time warp, factor seven."
48,TYLER,Course computed and on the screen.
49,ONE,"All decks have acknowledged, sir."
50,PIKE,Engage.
51,TYLER,"On course, sir."
52,PIKE,Yeoman.
53,COLT,"Yes, sir."
54,PIKE,I thought I told you that when I'm on the bridge
55,COLT,"But you wanted the reports by oh five hundred. It's oh five hundred now, sir."
56,PIKE,"Oh, I see. Thank you."
57,ONE,"She's replacing your former yeoman, sir."
